Date,Day Number,New Cases,Cum Cases,Confirmed,Probable,Suspected,Deaths,OB #,Region
1-3/09/1976,1.0-3.0,5,,,,,,0,Zaire
4-6/09/1976,4.0-6.0,7,,,,,,0,Zaire
7-9/09/1976,7.0-9.0,12,,,,,,0,Zaire
10-12/09/1976,10.0-12.0,22,,,,,,0,Zaire
13-15/09/1976,13.0-15.0,27,,,,,,0,Zaire
16-18/09/1976,16.0-18.0,20,,,,,,0,Zaire
19-21/09/1976,19.0-21.0,25,,,,,,0,Zaire
22-24/09/1976,22.0-24.0,46,,,,,,0,Zaire
25-27/09/1976,25.0-27.0,25,,,,,,0,Zaire
28-30/09/1976,28.0-30.0,12,,,,,,0,Zaire
1-3/10/1976,31.0-33.0,13,,,,,,0,Zaire
4-6/10/1976,34.0-36.0,18,,,,,,0,Zaire
7-9/10/1976,37.0-39.0,9,,,,,,0,Zaire
10-12/10/1976,40.0-42.0,12,,,,,,0,Zaire
13-15/10/1976,43.0-45.0,4,,,,,,0,Zaire
16-18/10/1976,46.0-48.0,,,,,,,0,Zaire
19-21/10/1976,49.0-51.0,3,,,,,,0,Zaire
22-24/10/1976,52.0-54.0,1,,,,,,0,Zaire
25-27/10/1976,55.0-57.0,,,,,,,0,Zaire
28-30/10/1976,58.0-60.0,,,,,,,0,Zaire
13-Nov-94,1,1,,,,,,16,Gabon
14-Nov-94,2,,,,,,,16,Gabon
15-Nov-94,3,,,,,,,16,Gabon
16-Nov-94,4,,,,,,,16,Gabon
17-Nov-94,5,,,,,,,16,Gabon
18-Nov-94,6,,,,,,,16,Gabon
19-Nov-94,7,1,,,,,,16,Gabon
20-Nov-94,8,,,,,,,16,Gabon
21-Nov-94,9,,,,,,,16,Gabon
22-Nov-94,10,,,,,,,16,Gabon
23-Nov-94,11,1,,,,,,16,Gabon
24-Nov-94,12,,,,,,,16,Gabon
25-Nov-94,13,,,,,,,16,Gabon
26-Nov-94,14,,,,,,,16,Gabon
27-Nov-94,15,2,,,,,,16,Gabon
28-Nov-94,16,,,,,,,16,Gabon
29-Nov-94,17,1,,,,,,16,Gabon
30-Nov-94,18,,,,,,,16,Gabon
1-Dec-94,19,,,,,,,16,Gabon
2-Dec-94,20,,,,,,,16,Gabon
3-Dec-94,21,,,,,,,16,Gabon
4-Dec-94,22,,,,,,,16,Gabon
5-Dec-94,23,,,,,,,16,Gabon
6-Dec-94,24,,,,,,,16,Gabon
7-Dec-94,25,,,,,,,16,Gabon
8-Dec-94,26,,,,,,,16,Gabon
9-Dec-94,27,2,,,,,,16,Gabon
10-Dec-94,28,,,,,,,16,Gabon
11-Dec-94,29,4,,,,,,16,Gabon
12-Dec-94,30,,,,,,,16,Gabon
13-Dec-94,31,6,,,,,,16,Gabon
14-Dec-94,32, ,,,,,,16,Gabon
15-Dec-94,33,5,,,,,,16,Gabon
16-Dec-94,34,,,,,,,16,Gabon
17-Dec-94,35,1,,,,,,16,Gabon
18-Dec-94,36,,,,,,,16,Gabon
19-Dec-94,37,,,,,,,16,Gabon
20-Dec-94,38,,,,,,,16,Gabon
21-Dec-94,39,,,,,,,16,Gabon
22-Dec-94,40,3,,,,,,16,Gabon
23-Dec-94,41,,,,,,,16,Gabon
24-Dec-94,42,,,,,,,16,Gabon
25-Dec-94,43,,,,,,,16,Gabon
26-Dec-94,44,,,,,,,16,Gabon
27-Dec-94,45,1,,,,,,16,Gabon
28-Dec-94,46,,,,,,,16,Gabon
29-Dec-94,47,,,,,,,16,Gabon
30-Dec-94,48,,,,,,,16,Gabon
31-Dec-94,49,2,,,,,,16,Gabon
1-Jan-95,50,,,,,,,16,Gabon
2-Jan-95,51,2,,,,,,16,Gabon
3-Jan-95,52,,,,,,,16,Gabon
4-Jan-95,53,,,,,,,16,Gabon
5-Jan-95,54,,,,,,,16,Gabon
6-Jan-95,55,,,,,,,16,Gabon
7-Jan-95,56,,,,,,,16,Gabon
8-Jan-95,57,1,,,,,,16,Gabon
9-Jan-95,58,,,,,,,16,Gabon
10-Jan-95,59,,,,,,,16,Gabon
11-Jan-95,60,,,,,,,16,Gabon
12-Jan-95,61,,,,,,,16,Gabon
13-Jan-95,62,,,,,,,16,Gabon
14-Jan-95,63,,,,,,,16,Gabon
15-Jan-95,64,,,,,,,16,Gabon
16-Jan-95,65,1,,,,,,16,Gabon
17-Jan-95,66,,,,,,,16,Gabon
18-Jan-95,67,,,,,,,16,Gabon
19-Jan-95,68,,,,,,,16,Gabon
20-Jan-95,69,1,,,,,,16,Gabon
21-Jan-95,70,,,,,,,16,Gabon
22-Jan-95,71,1,,,,,,16,Gabon
23-Jan-95,72,,,,,,,16,Gabon
24-Jan-95,73,1,,,,,,16,Gabon
25-Jan-95,74,,,,,,,16,Gabon
26-Jan-95,75,,,,,,,16,Gabon
27-Jan-95,76,,,,,,,16,Gabon
28-Jan-95,77,,,,,,,16,Gabon
29-Jan-95,78,,,,,,,16,Gabon
30-Jan-95,79,4,,,,,,16,Gabon
31-Jan-95,80,,,,,,,16,Gabon
1-Feb-95,81,2,,,,,,16,Gabon
2-Feb-95,82,,,,,,,16,Gabon
3-Feb-95,83,2,,,,,,16,Gabon
4-Feb-95,84,,,,,,,16,Gabon
5-Feb-95,85, ,,,,,,16,Gabon
6-Feb-95,86,,,,,,,16,Gabon
7-Feb-95,87,2,,,,,,16,Gabon
8-Feb-95,88,,,,,,,16,Gabon
9-Feb-95,89,2,,,,,,16,Gabon
31-Jan-96,1,1,,,,,,17,Gabon
1-Feb-96,2,7,,,,,,17,Gabon
2-Feb-96,3,3,,,,,,17,Gabon
3-Feb-96,4,8,,,,,,17,Gabon
4-Feb-96,5, ,,,,,,17,Gabon
5-Feb-96,6,1,,,,,,17,Gabon
6-Feb-96,7,,,,,,,17,Gabon
7-Feb-96,8,,,,,,,17,Gabon
8-Feb-96,9,,,,,,,17,Gabon
9-Feb-96,10,,,,,,,17,Gabon
10-Feb-96,11,1,,,,,,17,Gabon
11-Feb-96,12,,,,,,,17,Gabon
12-Feb-96,13,1,,,,,,17,Gabon
13-Feb-96,14,,,,,,,17,Gabon
14-Feb-96,15,1,,,,,,17,Gabon
15-Feb-96,16,1,,,,,,17,Gabon
16-Feb-96,17,1,,,,,,17,Gabon
17-Feb-96,18,,,,,,,17,Gabon
18-Feb-96,19,2,,,,,,17,Gabon
19-Feb-96,20,1,,,,,,17,Gabon
20-Feb-96,21,,,,,,,17,Gabon
21-Feb-96,22,,,,,,,17,Gabon
22-Feb-96,23,,,,,,,17,Gabon
23-Feb-96,24,,,,,,,17,Gabon
24-Feb-96,25,,,,,,,17,Gabon
25-Feb-96,26,,,,,,,17,Gabon
26-Feb-96,27,,,,,,,17,Gabon
27-Feb-96,28,,,,,,,17,Gabon
28-Feb-96,29,,,,,,,17,Gabon
29-Feb-96,30,,,,,,,17,Gabon
1-Mar-96,31,,,,,,,17,Gabon
2-Mar-96,32,,,,,,,17,Gabon
3-Mar-96,33,,,,,,,17,Gabon
4-Mar-96,34,1,,,,,,17,Gabon
1-Mar-95,1,1,,,,,,18,DRC
2-Mar-95,2,,,,,,,18,DRC
3-Mar-95,3,,,,,,,18,DRC
4-Mar-95,4,,,,,,,18,DRC
5-Mar-95,5,,,,,,,18,DRC
6-Mar-95,6,1,,,,,,18,DRC
7-Mar-95,7,1,,,,,,18,DRC
8-Mar-95,8,1,,,,,,18,DRC
9-Mar-95,9,,,,,,,18,DRC
10-Mar-95,10,,,,,,,18,DRC
11-Mar-95,11,,,,,,,18,DRC
12-Mar-95,12,,,,,,,18,DRC
13-Mar-95,13,3,,,,,,18,DRC
14-Mar-95,14, ,,,,,,18,DRC
15-Mar-95,15, ,,,,,,18,DRC
16-Mar-95,16,,,,,,,18,DRC
17-Mar-95,17,1,,,,,,18,DRC
18-Mar-95,18,1,,,,,,18,DRC
19-Mar-95,19,,,,,,,18,DRC
20-Mar-95,20,1,,,,,,18,DRC
21-Mar-95,21,,,,,,,18,DRC
22-Mar-95,22,2,,,,,,18,DRC
23-Mar-95,23,,,,,,,18,DRC
24-Mar-95,24,1,,,,,,18,DRC
25-Mar-95,25, ,,,,,,18,DRC
26-Mar-95,26, ,,,,,,18,DRC
27-Mar-95,27,,,,,,,18,DRC
28-Mar-95,28, ,,,,,,18,DRC
29-Mar-95,29, ,,,,,,18,DRC
30-Mar-95,30,,,,,,,18,DRC
31-Mar-95,31, ,,,,,,18,DRC
1-Apr-95,32,2,,,,,,18,DRC
2-Apr-95,33,,,,,,,18,DRC
3-Apr-95,34,1,,,,,,18,DRC
4-Apr-95,35,1,,,,,,18,DRC
5-Apr-95,36,2,,,,,,18,DRC
6-Apr-95,37,1,,,,,,18,DRC
7-Apr-95,38,,,,,,,18,DRC
8-Apr-95,39,1,,,,,,18,DRC
9-Apr-95,40,1,,,,,,18,DRC
10-Apr-95,41,1,,,,,,18,DRC
11-Apr-95,42,1,,,,,,18,DRC
12-Apr-95,43,1,,,,,,18,DRC
13-Apr-95,44,1,,,,,,18,DRC
14-Apr-95,45,3,,,,,,18,DRC
15-Apr-95,46, ,,,,,,18,DRC
16-Apr-95,47,4,,,,,,18,DRC
17-Apr-95,48,4,,,,,,18,DRC
18-Apr-95,49,1,,,,,,18,DRC
19-Apr-95,50,2,,,,,,18,DRC
20-Apr-95,51,4,,,,,,18,DRC
21-Apr-95,52,2,,,,,,18,DRC
22-Apr-95,53,1,,,,,,18,DRC
23-Apr-95,54, ,,,,,,18,DRC
24-Apr-95,55,7,,,,,,18,DRC
25-Apr-95,56,4,,,,,,18,DRC
26-Apr-95,57,4,,,,,,18,DRC
27-Apr-95,58,2,,,,,,18,DRC
28-Apr-95,59,4,,,,,,18,DRC
29-Apr-95,60,5,,,,,,18,DRC
30-Apr-95,61,3,,,,,,18,DRC
1-May-95,62,11,,,,,,18,DRC
2-May-95,63,12,,,,,,18,DRC
3-May-95,64,15,,,,,,18,DRC
4-May-95,65,7,,,,,,18,DRC
5-May-95,66,7,,,,,,18,DRC
6-May-95,67,8,,,,,,18,DRC
7-May-95,68,2,,,,,,18,DRC
8-May-95,69,5,,,,,,18,DRC
9-May-95,70,8,,,,,,18,DRC
10-May-95,71,6,,,,,,18,DRC
11-May-95,72,8,,,,,,18,DRC
12-May-95,73,3,,,,,,18,DRC
13-May-95,74,4,,,,,,18,DRC
14-May-95,75,7,,,,,,18,DRC
15-May-95,76,11,,,,,,18,DRC
16-May-95,77,3,,,,,,18,DRC
17-May-95,78,12,,,,,,18,DRC
18-May-95,79,5,,,,,,18,DRC
19-May-95,80,8,,,,,,18,DRC
20-May-95,81,3,,,,,,18,DRC
21-May-95,82,3,,,,,,18,DRC
22-May-95,83,8,,,,,,18,DRC
23-May-95,84,4,,,,,,18,DRC
24-May-95,85,5,,,,,,18,DRC
25-May-95,86,1,,,,,,18,DRC
26-May-95,87,3,,,,,,18,DRC
27-May-95,88,4,,,,,,18,DRC
28-May-95,89,3,,,,,,18,DRC
29-May-95,90,1,,,,,,18,DRC
30-May-95,91,2,,,,,,18,DRC
31-May-95,92,3,,,,,,18,DRC
1-Jun-95,93,1,,,,,,18,DRC
2-Jun-95,94,3,,,,,,18,DRC
3-Jun-95,95,3,,,,,,18,DRC
4-Jun-95,96,4,,,,,,18,DRC
5-Jun-95,97,3,,,,,,18,DRC
6-Jun-95,98,5,,,,,,18,DRC
7-Jun-95,99,2,,,,,,18,DRC
8-Jun-95,100,2,,,,,,18,DRC
9-Jun-95,101,1,,,,,,18,DRC
10-Jun-95,102,2,,,,,,18,DRC
11-Jun-95,103, ,,,,,,18,DRC
12-Jun-95,104, ,,,,,,18,DRC
13-Jun-95,105,2,,,,,,18,DRC
14-Jun-95,106, ,,,,,,18,DRC
15-Jun-95,107,,,,,,,18,DRC
16-Jun-95,108, ,,,,,,18,DRC
17-Jun-95,109,2,,,,,,18,DRC
18-Jun-95,110,2,,,,,,18,DRC
19-Jun-95,111, ,,,,,,18,DRC
20-Jun-95,112,1,,,,,,18,DRC
16-Oct-00,1, ,71, , ,71,35,1,Uganda
17-Oct-00,2,10,81, , , ,35,1,Uganda
18-Oct-00,3,13,94, , , ,39,1,Uganda
19-Oct-00,4,17,111, , , ,41,1,Uganda
20-Oct-00,5,6,122, , , ,47,1,Uganda
21-Oct-00,6,17,139, , , ,51,1,Uganda
22-Oct-00,7,10,149, , , ,54,1,Uganda
23-Oct-00,8,11,160, , , ,55,1,Uganda
24-Oct-00,9,5,165, , , ,60,1,Uganda
25-Oct-00,10,11,176, , , ,64,1,Uganda
26-Oct-00,11,6,182, , , ,64,1,Uganda
27-Oct-00,12,9,191, , , ,68,1,Uganda
28-Oct-00,13,14,205, , , ,71,1,Uganda
29-Oct-00,14,6,211, , , ,72,1,Uganda
30-Oct-00,15,13,224, , , ,73,1,Uganda
31-Oct-00,16,15,239, , , ,75,1,Uganda
1-Nov-00,17,12,251, , , ,80,1,Uganda
2-Nov-00,18,11,262, , , ,81,1,Uganda
3-Nov-00,19,4,266, , , ,83,1,Uganda
5-Nov-00,21,14,280, , , ,89,1,Uganda
6-Nov-00,22,1,281, , , ,91,1,Uganda
7-Nov-00,23,3,284, , , ,91,1,Uganda
8-Nov-00,24,2,286, , , ,94,1,Uganda
9-Nov-00,25,9,295,  , , ,96,1,Uganda
10-Nov-00,26,6,301, , , ,99,1,Uganda
12-Nov-00,28,19,320,,,,104,1,Uganda
13-Nov-00,29,1,321,,,,104,1,Uganda
17-Nov-00,33,8,329,,,,107,1,Uganda
24-Nov-00,40,8,337,,,,121,1,Uganda
29-Nov-00,45,17,354,,,,140,1,Uganda
5-Dec-00,51,16,370,,,,140,1,Uganda
8-Dec-00,54,35,405,,,,160,1,Uganda
19-Dec-00,65,16,421,,,,165,1,Uganda
29-Dec-00,75,5,426,,,,172,1,Uganda
2-Jan-01,79,0,426,,,,172,1,Uganda
9-Jan-01,86,1,427,,,,173,1,Uganda
16-Jan-01,93,1,428,,,,174,1,Uganda
23-Jan-01,100,0,428,,,,174,1,Uganda
11-Dec-01,1,,,1,,12,10,2,Gabon
12-Dec-01,2,,,2,,14,10,2,Gabon
16-Dec-01,5,,,2,,15,12,2,Gabon
17-Dec-01,6,,,2,,16,12,2,Gabon
18-Dec-01,7,,19,2,,,13,2,Gabon
19-Dec-01,8,,27,25,,,15,2,Gabon
23-Dec-01,12,,,27,,7,18,2,Gabon
27-Dec-01,16,, ,29,,8,20,2,Gabon
30-Dec-01,19,,,30,,5,22,2,Gabon
1-Jan-02,21,,,32,,9,23,2,Gabon
2-Jan-02,22,,,32,,10,23,2,Gabon
6-Jan-02,26,,,33,,15,24,2,Gabon/RC
7-Jan-02,27,,,34,,16,25,2,Gabon/RC
20-Jan-02,40,,,42,,22,34,2,Gabon/RC
5-Feb-02,56,,,69,,,54,2,Gabon/RC
18-Feb-02,69,,,76,,,59,2,Gabon/RC
23-Feb-02,74,,,78,,,61,2,Gabon
4-Mar-02,83,,,81,,,62,2,Gabon
12-Mar-02,91,,,91,,,68,2,Gabon/RC
20-Mar-02,99,,,92,,,69,2,Gabon
18-Feb-03,1,,,,,73,59,3,RC
25-Feb-03,7,,,5,90,,77,3,RC
27-Feb-03,9,,,5,92,,80,3,RC
